Match Number,Round Number,Date,Location,Home Team,Away Team,Result
556,11,15/01/2025 00:30,State Farm Arena,Atlanta Hawks,Phoenix Suns,122 - 117
557,11,15/01/2025 01:00,United Center,Chicago Bulls,New Orleans Pelicans,113 - 119
558,11,15/01/2025 01:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,130 - 115
559,11,15/01/2025 02:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,99 - 118
560,11,15/01/2025 03:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,114 - 132
561,12,16/01/2025 00:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,119 - 125
562,12,16/01/2025 00:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,110 - 97
563,12,16/01/2025 01:00,United Center,Chicago Bulls,Atlanta Hawks,94 - 110
564,12,16/01/2025 01:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,122 - 93
566,12,16/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,119 - 116
567,12,16/01/2025 01:00,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,115 - 129
568,12,16/01/2025 02:00,Ball Arena,Denver Nuggets,Houston Rockets,108 - 128
569,12,16/01/2025 02:00,Delta Center,Utah Jazz,Charlotte Hornets,112 - 117
565,12,16/01/2025 02:30,Target Center,Minnesota Timberwolves,Golden State Warriors,115 - 116
570,12,16/01/2025 03:00,Crypto.com Arena,Los Angeles Lakers,Miami Heat,117 - 108
571,12,16/01/2025 03:30,Intuit Dome,LA Clippers,Brooklyn Nets,126 - 67
572,12,17/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,100 - 111
573,12,17/01/2025 00:00,Capital One Arena,Washington Wizards,Phoenix Suns,123 - 130
574,12,17/01/2025 00:30,Paycom Center,Oklahoma City Thunder,Cleveland Cavaliers,134 - 114
575,12,17/01/2025 03:00,Moda Center,Portland Trail Blazers,LA Clippers,89 - 118
576,12,17/01/2025 03:00,Golden 1 Center,Sacramento Kings,Houston Rockets,132 - 127
577,12,18/01/2025 00:00,TD Garden,Boston Celtics,Orlando Magic,121 - 94
578,12,18/01/2025 00:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,99 - 116
579,12,18/01/2025 01:00,Kaseya Center,Miami Heat,Denver Nuggets,113 - 133
580,12,18/01/2025 01:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,130 - 112
581,12,18/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,136 - 123
584,12,18/01/2025 01:00,United Center,Chicago Bulls,Charlotte Hornets,123 - 125
583,12,18/01/2025 01:30,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,106 - 98
582,12,18/01/2025 02:30,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,112 - 140
585,12,18/01/2025 03:30,Crypto.com Arena,Los Angeles Lakers,Brooklyn Nets,102 - 101
586,12,18/01/2025 21:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,121 - 125
587,12,19/01/2025 00:00,TD Garden,Boston Celtics,Atlanta Hawks,115 - 119
588,12,19/01/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,115 - 102
589,12,19/01/2025 01:30,Chase Center,Golden State Warriors,Washington Wizards,122 - 114
590,12,19/01/2025 02:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,117 - 124
591,12,19/01/2025 03:00,Moda Center,Portland Trail Blazers,Houston Rockets,103 - 125
592,12,19/01/2025 20:00,Kaseya Center,Miami Heat,San Antonio Spurs,128 - 107
593,12,19/01/2025 23:00,Kia Center,Orlando Magic,Denver Nuggets,100 - 113
594,12,20/01/2025 00:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,123 - 109
595,12,20/01/2025 00:00,Paycom Center,Oklahoma City Thunder,Brooklyn Nets,127 - 101
596,12,20/01/2025 02:00,Intuit Dome,LA Clippers,Los Angeles Lakers,116 - 102
597,12,20/01/2025 02:00,Moda Center,Portland Trail Blazers,Chicago Bulls,113 - 102
598,12,20/01/2025 02:00,Golden 1 Center,Sacramento Kings,Washington Wizards,123 - 100
599,12,20/01/2025 17:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,110 - 105
600,12,20/01/2025 19:00,Toyota Center,Houston Rockets,Detroit Pistons,96 - 107
601,12,20/01/2025 19:30,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,108 - 106
602,12,20/01/2025 20:00,Madison Square Garden,New York Knicks,Atlanta Hawks,119 - 110
603,12,20/01/2025 20:30,Rocket Arena,Cleveland Cavaliers,Phoenix Suns,118 - 92
604,12,20/01/2025 22:00,Chase Center,Golden State Warriors,Boston Celtics,85 - 125
605,12,21/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,123 - 119
611,12,21/01/2025 03:30,Intuit Dome,LA Clippers,Chicago Bulls,99 - 112
606,12,22/01/2025 00:30,Barclays Center,Brooklyn Nets,New York Knicks,95 - 99
607,12,22/01/2025 00:30,Kaseya Center,Miami Heat,Portland Trail Blazers,107 - 116
608,12,22/01/2025 00:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,109 - 93
609,12,22/01/2025 03:00,Ball Arena,Denver Nuggets,Philadelphia 76ers,144 - 109
610,12,22/01/2025 03:30,Crypto.com Arena,Los Angeles Lakers,Washington Wizards,111 - 88
612,13,23/01/2025 00:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,104 - 114
613,13,23/01/2025 00:30,Barclays Center,Brooklyn Nets,Phoenix Suns,94 - 108
614,13,23/01/2025 00:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,114 - 115
615,13,23/01/2025 01:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,109 - 108
616,13,23/01/2025 01:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,132 - 120
618,13,23/01/2025 01:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,123 - 114
619,13,23/01/2025 03:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,123 - 117
620,13,23/01/2025 03:30,Intuit Dome,LA Clippers,Boston Celtics,113 - 117
621,13,23/01/2025 19:00,Accor Arena,Indiana Pacers,San Antonio Spurs,110 - 140
622,13,24/01/2025 00:00,Kia Center,Orlando Magic,Portland Trail Blazers,79 - 101
623,13,24/01/2025 00:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,119 - 122
625,13,24/01/2025 01:00,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,115 - 121
624,13,24/01/2025 01:30,Fiserv Forum,Milwaukee Bucks,Miami Heat,125 - 96
626,13,24/01/2025 02:00,Ball Arena,Denver Nuggets,Sacramento Kings,132 - 123
628,13,24/01/2025 03:00,Chase Center,Golden State Warriors,Chicago Bulls,131 - 106
629,13,24/01/2025 03:00,Crypto.com Arena,Los Angeles Lakers,Boston Celtics,117 - 96
983,13,24/01/2025 03:30,Intuit Dome,LA Clippers,Washington Wizards,110 - 93
630,13,25/01/2025 00:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,97 - 102
631,13,25/01/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,132 - 129
632,13,25/01/2025 01:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,139 - 126
633,13,25/01/2025 17:00,Accor Arena,San Antonio Spurs,Indiana Pacers,98 - 136
634,13,25/01/2025 20:00,Target Center,Minnesota Timberwolves,Denver Nuggets,133 - 104
635,13,25/01/2025 22:30,American Airlines Center,Dallas Mavericks,Boston Celtics,107 - 122
636,13,25/01/2025 23:00,Barclays Center,Brooklyn Nets,Miami Heat,97 - 106
637,13,26/01/2025 00:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,123 - 92
638,13,26/01/2025 00:00,Kia Center,Orlando Magic,Detroit Pistons,121 - 113
639,13,26/01/2025 00:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,94 - 117
640,13,26/01/2025 00:30,Rocket Arena,Cleveland Cavaliers,Houston Rockets,131 - 135
641,13,26/01/2025 00:30,Madison Square Garden,New York Knicks,Sacramento Kings,143 - 120
642,13,26/01/2025 01:00,United Center,Chicago Bulls,Philadelphia 76ers,97 - 109
643,13,26/01/2025 01:00,FedExForum,Memphis Grizzlies,Utah Jazz,123 - 103
644,13,26/01/2025 01:30,Chase Center,Golden State Warriors,Los Angeles Lakers,108 - 118
645,13,26/01/2025 02:00,PHX Arena,Phoenix Suns,Washington Wizards,119 - 109
646,13,26/01/2025 03:30,Intuit Dome,LA Clippers,Milwaukee Bucks,127 - 117
647,13,26/01/2025 23:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,108 - 118
648,13,28/01/2025 00:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,107 - 112
649,13,28/01/2025 00:00,Rocket Arena,Cleveland Cavaliers,Detroit Pistons,110 - 91
650,13,28/01/2025 00:30,TD Garden,Boston Celtics,Houston Rockets,112 - 114
651,13,28/01/2025 00:30,Barclays Center,Brooklyn Nets,Sacramento Kings,96 - 110
652,13,28/01/2025 00:30,Kaseya Center,Miami Heat,Orlando Magic,125 - 119
653,13,28/01/2025 00:30,Madison Square Garden,New York Knicks,Memphis Grizzlies,143 - 106
654,13,28/01/2025 00:30,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,113 - 104
655,13,28/01/2025 01:00,United Center,Chicago Bulls,Denver Nuggets,129 - 121
656,13,28/01/2025 01:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,100 - 92
657,13,28/01/2025 01:30,American Airlines Center,Dallas Mavericks,Washington Wizards,130 - 108
658,13,28/01/2025 02:00,Delta Center,Utah Jazz,Milwaukee Bucks,110 - 125
659,13,28/01/2025 02:30,PHX Arena,Phoenix Suns,LA Clippers,111 - 109
532,13,29/01/2025 00:30,State Farm Arena,Atlanta Hawks,Houston Rockets,96 - 100
660,13,29/01/2025 00:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,118 - 104
661,13,29/01/2025 03:00,Chase Center,Golden State Warriors,Utah Jazz,114 - 103
662,13,29/01/2025 03:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,125 - 112
663,14,30/01/2025 00:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,83 - 104
664,14,30/01/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,133 - 119
665,14,30/01/2025 00:00,Capital One Arena,Washington Wizards,Toronto Raptors,82 - 106
666,14,30/01/2025 00:30,TD Garden,Boston Celtics,Chicago Bulls,122 - 100
667,14,30/01/2025 00:30,Kaseya Center,Miami Heat,Cleveland Cavaliers,106 - 126
668,14,30/01/2025 00:30,Madison Square Garden,New York Knicks,Denver Nuggets,122 - 112
669,14,30/01/2025 00:30,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,117 - 104
670,14,30/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,136 - 137
671,14,30/01/2025 01:00,Frost Bank Center,San Antonio Spurs,LA Clippers,116 - 128
672,14,30/01/2025 02:00,PHX Arena,Phoenix Suns,Minnesota Timberwolves,113 - 121
673,14,30/01/2025 03:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,116 - 109
674,14,31/01/2025 00:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,96 - 134
675,14,31/01/2025 00:00,Rocket Arena,Cleveland Cavaliers,Atlanta Hawks,137 - 115
677,14,31/01/2025 02:00,Delta Center,Utah Jazz,Minnesota Timberwolves,113 - 138
676,14,31/01/2025 02:30,FedExForum,Memphis Grizzlies,Houston Rockets,120 - 119
678,14,31/01/2025 03:00,Moda Center,Portland Trail Blazers,Orlando Magic,119 - 90
679,14,01/02/2025 00:00,Spectrum Center,Charlotte Hornets,LA Clippers,104 - 112
680,14,01/02/2025 00:00,Little Caesars Arena,Detroit Pistons,Dallas Mavericks,117 - 102
681,14,01/02/2025 00:30,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,134 - 137
682,14,01/02/2025 00:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,106 - 122
683,14,01/02/2025 01:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,116 - 118
684,14,01/02/2025 01:00,Frost Bank Center,San Antonio Spurs,Milwaukee Bucks,144 - 118
685,14,01/02/2025 03:00,Chase Center,Golden State Warriors,Phoenix Suns,105 - 130
686,14,01/02/2025 22:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,132 - 127
687,14,01/02/2025 22:00,Delta Center,Utah Jazz,Orlando Magic,113 - 99
688,14,02/02/2025 00:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,104 - 107
689,14,02/02/2025 01:00,Toyota Center,Houston Rockets,Brooklyn Nets,98 - 110
690,14,02/02/2025 01:00,Target Center,Minnesota Timberwolves,Washington Wizards,103 - 105
691,14,02/02/2025 01:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,144 - 110
692,14,02/02/2025 01:30,Madison Square Garden,New York Knicks,Los Angeles Lakers,112 - 128
693,14,02/02/2025 01:30,Frost Bank Center,San Antonio Spurs,Miami Heat,103 - 105
694,14,02/02/2025 03:00,Moda Center,Portland Trail Blazers,Phoenix Suns,127 - 108
695,14,02/02/2025 20:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,127 - 119
696,14,02/02/2025 20:30,Rocket Arena,Cleveland Cavaliers,Dallas Mavericks,144 - 101
697,14,02/02/2025 20:30,Scotiabank Arena,Toronto Raptors,LA Clippers,115 - 108
698,14,02/02/2025 23:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,110 - 118
699,14,03/02/2025 01:30,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,119 - 132
700,14,04/02/2025 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,114 - 124
701,14,04/02/2025 00:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,130 - 132
702,14,04/02/2025 00:30,Madison Square Garden,New York Knicks,Houston Rockets,124 - 118
703,14,04/02/2025 01:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,128 - 109
704,14,04/02/2025 01:00,Target Center,Minnesota Timberwolves,Sacramento Kings,114 - 116
705,14,04/02/2025 01:00,Paycom Center,Oklahoma City Thunder,Milwaukee Bucks,125 - 96
706,14,04/02/2025 02:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,125 - 113
707,14,04/02/2025 02:00,Delta Center,Utah Jazz,Indiana Pacers,111 - 112
708,14,04/02/2025 03:00,Chase Center,Golden State Warriors,Orlando Magic,104 - 99
709,14,04/02/2025 03:00,Moda Center,Portland Trail Blazers,Phoenix Suns,121 - 119
712,14,05/02/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,118 - 116
710,14,05/02/2025 00:30,Rocket Arena,Cleveland Cavaliers,Boston Celtics,105 - 112
711,14,05/02/2025 00:30,Barclays Center,Brooklyn Nets,Houston Rockets,99 - 97
713,14,05/02/2025 00:30,Scotiabank Arena,Toronto Raptors,New York Knicks,115 - 121
714,14,05/02/2025 01:00,United Center,Chicago Bulls,Miami Heat,133 - 124
715,14,05/02/2025 03:00,Intuit Dome,LA Clippers,Los Angeles Lakers,97 - 122
716,14,05/02/2025 03:00,Moda Center,Portland Trail Blazers,Indiana Pacers,112 - 89
717,15,06/02/2025 00:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,102 - 112
718,15,06/02/2025 00:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,115 - 118
719,15,06/02/2025 00:00,State Farm Arena,Atlanta Hawks,San Antonio Spurs,125 - 126
720,15,06/02/2025 00:30,Barclays Center,Brooklyn Nets,Washington Wizards,102 - 119
721,15,06/02/2025 00:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,101 - 108
722,15,06/02/2025 00:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,107 - 138
723,15,06/02/2025 01:00,Target Center,Minnesota Timberwolves,Chicago Bulls,127 - 108
725,15,06/02/2025 02:00,Delta Center,Utah Jazz,Golden State Warriors,131 - 128
726,15,06/02/2025 02:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,144 - 119
724,15,06/02/2025 02:30,Paycom Center,Oklahoma City Thunder,Phoenix Suns,140 - 109
727,15,06/02/2025 03:00,Golden 1 Center,Sacramento Kings,Orlando Magic,111 - 130
728,15,07/02/2025 00:30,TD Garden,Boston Celtics,Dallas Mavericks,120 - 127
729,15,07/02/2025 01:00,Target Center,Minnesota Timberwolves,Houston Rockets,127 - 114
730,15,07/02/2025 02:00,Ball Arena,Denver Nuggets,Orlando Magic,112 - 90
731,15,07/02/2025 03:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,120 - 112
732,15,07/02/2025 03:00,Moda Center,Portland Trail Blazers,Sacramento Kings,108 - 102
733,15,07/02/2025 03:30,Intuit Dome,LA Clippers,Indiana Pacers,112 - 119
734,15,08/02/2025 00:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,117 - 116
735,15,08/02/2025 00:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,124 - 134
736,15,08/02/2025 00:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,115 - 110
737,15,08/02/2025 00:30,Barclays Center,Brooklyn Nets,Miami Heat,102 - 86
738,15,08/02/2025 00:30,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,125 - 112
739,15,08/02/2025 01:00,Paycom Center,Oklahoma City Thunder,Toronto Raptors,121 - 109
740,15,08/02/2025 03:00,PHX Arena,Phoenix Suns,Utah Jazz,135 - 127
741,15,08/02/2025 20:00,American Airlines Center,Dallas Mavericks,Houston Rockets,116 - 105
742,15,08/02/2025 21:00,Crypto.com Arena,Los Angeles Lakers,Indiana Pacers,124 - 117
743,15,09/02/2025 00:00,Kia Center,Orlando Magic,San Antonio Spurs,112 - 111
744,15,09/02/2025 00:00,Capital One Arena,Washington Wizards,Atlanta Hawks,111 - 125
745,15,09/02/2025 01:00,United Center,Chicago Bulls,Golden State Warriors,111 - 132
746,15,09/02/2025 01:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,112 - 125
747,15,09/02/2025 01:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,114 - 98
748,15,09/02/2025 01:30,Madison Square Garden,New York Knicks,Boston Celtics,104 - 131
749,15,09/02/2025 02:00,PHX Arena,Phoenix Suns,Denver Nuggets,105 - 122
750,15,09/02/2025 03:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,123 - 118
751,15,09/02/2025 03:30,Intuit Dome,LA Clippers,Utah Jazz,130 - 110
752,15,09/02/2025 18:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,112 - 102
753,15,09/02/2025 19:00,Toyota Center,Houston Rockets,Toronto Raptors,94 - 87
754,15,09/02/2025 19:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,135 - 127
755,15,11/02/2025 00:00,Rocket Arena,Cleveland Cavaliers,Minnesota Timberwolves,128 - 107
756,15,11/02/2025 00:00,Kia Center,Orlando Magic,Atlanta Hawks,106 - 112
757,15,11/02/2025 00:00,Capital One Arena,Washington Wizards,San Antonio Spurs,121 - 131
758,15,11/02/2025 00:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,97 - 89
759,15,11/02/2025 00:30,Kaseya Center,Miami Heat,Boston Celtics,85 - 103
760,15,11/02/2025 01:00,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,111 - 125
761,15,11/02/2025 01:00,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,137 - 101
762,15,11/02/2025 01:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,128 - 129
763,15,11/02/2025 02:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,146 - 117
768,15,11/02/2025 03:30,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,132 - 113
764,15,12/02/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,103 - 106
765,15,12/02/2025 00:30,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,115 - 128
766,15,12/02/2025 01:00,United Center,Chicago Bulls,Detroit Pistons,92 - 132
767,15,12/02/2025 03:00,PHX Arena,Phoenix Suns,Memphis Grizzlies,112 - 119
769,15,13/02/2025 00:00,TD Garden,Boston Celtics,San Antonio Spurs,116 - 103
770,15,13/02/2025 00:00,Kia Center,Orlando Magic,Charlotte Hornets,102 - 86
771,15,13/02/2025 00:00,Capital One Arena,Washington Wizards,Indiana Pacers,130 - 134
772,15,13/02/2025 00:30,Barclays Center,Brooklyn Nets,Philadelphia 76ers,100 - 96
773,15,13/02/2025 00:30,Madison Square Garden,New York Knicks,Atlanta Hawks,149 - 148
774,15,13/02/2025 00:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,108 - 131
775,15,13/02/2025 01:00,United Center,Chicago Bulls,Detroit Pistons,110 - 128
776,15,13/02/2025 01:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,101 - 103
777,15,13/02/2025 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,111 - 119
778,15,13/02/2025 01:00,Paycom Center,Oklahoma City Thunder,Miami Heat,115 - 101
779,15,13/02/2025 01:30,Toyota Center,Houston Rockets,Phoenix Suns,119 - 111
780,15,13/02/2025 02:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,132 - 121
781,15,13/02/2025 02:00,Delta Center,Utah Jazz,Los Angeles Lakers,131 - 119
782,15,13/02/2025 02:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,111 - 107
783,15,13/02/2025 03:30,Intuit Dome,LA Clippers,Memphis Grizzlies,128 - 114
784,16,14/02/2025 01:00,Toyota Center,Houston Rockets,Golden State Warriors,98 - 105
785,16,14/02/2025 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,140 - 133
786,16,14/02/2025 01:30,American Airlines Center,Dallas Mavericks,Miami Heat,118 - 113
787,16,14/02/2025 01:30,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,116 - 101
1004,16,14/02/2025 02:00,Delta Center,Utah Jazz,LA Clippers,116 - 120
524,16,20/02/2025 03:00,Crypto.com Arena,Los Angeles Lakers,Charlotte Hornets,97 - 100
788,16,21/02/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Memphis Grizzlies,127 - 113
789,16,21/02/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,104 - 124
790,16,21/02/2025 00:30,State Farm Arena,Atlanta Hawks,Orlando Magic,108 - 114
791,16,21/02/2025 00:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,97 - 110
792,16,21/02/2025 00:30,Madison Square Garden,New York Knicks,Chicago Bulls,113 - 111
793,16,21/02/2025 01:00,Fiserv Forum,Milwaukee Bucks,LA Clippers,116 - 110
794,16,21/02/2025 02:00,Ball Arena,Denver Nuggets,Charlotte Hornets,129 - 115
795,16,21/02/2025 02:30,Moody Center,San Antonio Spurs,Phoenix Suns,120 - 109
796,16,21/02/2025 03:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,102 - 110
797,16,22/02/2025 00:00,Rocket Arena,Cleveland Cavaliers,New York Knicks,142 - 105
798,16,22/02/2025 00:00,Kia Center,Orlando Magic,Memphis Grizzlies,104 - 105
799,16,22/02/2025 00:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,101 - 104
800,16,22/02/2025 00:30,Scotiabank Arena,Toronto Raptors,Miami Heat,111 - 120
802,16,22/02/2025 01:30,Moody Center,San Antonio Spurs,Detroit Pistons,110 - 125
803,16,22/02/2025 01:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,111 - 103
801,16,22/02/2025 02:30,Toyota Center,Houston Rockets,Minnesota Timberwolves,121 - 115
804,16,22/02/2025 02:30,Delta Center,Utah Jazz,Oklahoma City Thunder,107 - 130
805,16,22/02/2025 03:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,108 - 132
806,16,22/02/2025 22:00,United Center,Chicago Bulls,Phoenix Suns,117 - 121
807,16,23/02/2025 00:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,103 - 105
808,16,23/02/2025 01:30,Ball Arena,Denver Nuggets,Los Angeles Lakers,100 - 123
809,16,23/02/2025 02:30,Delta Center,Utah Jazz,Houston Rockets,124 - 115
810,16,23/02/2025 03:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,141 - 88
811,16,23/02/2025 18:00,TD Garden,Boston Celtics,New York Knicks,118 - 105
812,16,23/02/2025 20:30,Chase Center,Golden State Warriors,Dallas Mavericks,126 - 102
813,16,23/02/2025 22:00,Gainbridge Fieldhouse,Indiana Pacers,LA Clippers,129 - 111
814,16,23/02/2025 23:00,State Farm Arena,Atlanta Hawks,Detroit Pistons,143 - 148
815,16,23/02/2025 23:00,Kia Center,Orlando Magic,Washington Wizards,110 - 90
816,16,23/02/2025 23:00,Scotiabank Arena,Toronto Raptors,Phoenix Suns,127 - 109
817,16,23/02/2025 23:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,120 - 113
818,16,24/02/2025 00:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,114 - 96
819,16,24/02/2025 00:00,Rocket Arena,Cleveland Cavaliers,Memphis Grizzlies,129 - 123
820,16,24/02/2025 02:30,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,123 - 130
821,16,25/02/2025 00:00,Little Caesars Arena,Detroit Pistons,LA Clippers,106 - 97
822,16,25/02/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Denver Nuggets,116 - 125
