NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Kyle Kuzma,Was,No,F,29.6,32,27.7,27,13.8,98,0.602,295,0.495,160,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21,17.7,23.4,8.7,92.9,116.2
Christian Braun,Den,Yes,G,23.9,60,33.3,15.9,8.3,167,0.832,460,0.646,161,0.36,0.618,0.653,15.1,5.2,2.2,1.2,0.5,0.9,20.3,17.3,22.5,6.7,130.7,112.1
Kelly Oubre Jr.,Phi,Yes,F,29.2,57,35.1,18.8,9.9,172,0.756,469,0.561,233,0.292,0.52,0.553,15.1,6.2,1.8,1.5,0.5,1.4,21.3,16.8,23.1,6.3,111.2,110.9
Chet Holmgren,Okc,Yes,C,22.8,18,26.3,23.3,15.9,78,0.756,126,0.563,64,0.359,0.555,0.602,15,8.5,1.9,0.9,2.7,2,23.5,16.9,25.4,9.5,114.3,100.3
Kyle Kuzma,Mil,Yes,F,29.6,11,34.2,21.2,15.3,47,0.681,88,0.5,50,0.3,0.482,0.52,15,7.7,2.6,0.5,0.3,2.3,22.7,17.6,25.4,7.8,98.9,108.6
Naz Reid,Min,Yes,C,25.5,62,27.8,21.8,9.9,123,0.797,371,0.536,363,0.391,0.561,0.585,14.9,6.1,2.2,0.8,0.9,1.3,21,17,23.1,8.4,115.6,104.6
De'Andre Hunter,Cle,Yes,F,27.3,9,25.8,18.9,7.8,32,0.844,38,0.421,44,0.568,0.652,0.697,14.9,4.2,0.8,0.3,0.3,0.8,19.1,15.7,19.9,5.7,133.2,106.9
Deni Avdija,Por,Yes,F,24.2,58,28.7,22.1,18.8,277,0.769,366,0.546,247,0.332,0.527,0.584,14.8,6.4,3.6,0.9,0.5,2.4,21.2,18.4,24.8,9.7,112.5,109.1
Gradey Dick,Tor,Yes,G,21.3,54,29.4,21.3,11.4,155,0.858,321,0.47,326,0.35,0.498,0.543,14.4,3.6,1.8,0.9,0.2,1.5,18,16.2,19.8,6.2,106.1,114
Deandre Ayton,Por,Yes,C,26.6,40,30.1,19.6,12.8,60,0.667,436,0.594,32,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1,1.7,24.6,16,26.2,8.2,113.7,108.9
Josh Hart,Nyk,Yes,G,30,58,37.7,15.4,16.9,165,0.806,402,0.649,183,0.328,0.6,0.635,14.4,9.6,5.7,1.4,0.4,2.1,24,20.1,29.7,9.8,127.7,108.7
Fred VanVleet,Hou,Yes,G,31,46,35.5,17.9,10.7,101,0.832,239,0.448,356,0.34,0.485,0.517,14.4,3.9,5.8,1.6,0.4,1.5,18.3,20.2,24.1,7.8,116,107.8
Jerami Grant,Por,Yes,F,31,45,32.5,19.6,10.1,159,0.843,273,0.381,279,0.366,0.466,0.521,14.4,3.5,2.2,0.9,1,1.4,17.9,16.6,20.1,5.9,108.2,114
Tre Mann,Cha,Yes,G,24.1,13,24.5,25.9,13.4,21,0.905,101,0.455,60,0.4,0.509,0.537,14.1,2.9,3,0.5,0.3,1.9,17,17.1,20,8.1,105.6,113.1
Jakob Poeltl,Tor,Yes,C,29.4,49,30.3,18.3,15.6,131,0.672,490,0.614,2,0,0.612,0.628,14.1,9.8,2.8,1.2,1.2,1.9,23.9,16.9,26.7,9.6,120.9,105.9
Dyson Daniels,Atl,Yes,G,22,57,34,18,13.2,112,0.589,515,0.528,182,0.341,0.524,0.533,14,5.6,4.1,3,0.8,1.9,19.6,18,23.6,8.1,108.1,109.1
P.J. Washington,Dal,Yes,F,26.5,47,32.2,19.8,13.9,150,0.74,348,0.466,198,0.374,0.5,0.537,14,8.1,2.3,1.2,1.1,1.9,22.1,16.3,24.4,7.9,106.5,108
Amen Thompson,Hou,Yes,G,22.1,58,32.4,17.3,17.3,222,0.703,499,0.589,76,0.263,0.563,0.598,13.9,8.3,3.5,1.4,1.3,2.1,22.1,17.4,25.7,9.1,119.1,105.1
Payton Pritchard,Bos,Yes,G,27.1,60,27.9,18.5,8.8,62,0.839,159,0.635,464,0.416,0.627,0.64,13.9,3.7,3.4,0.9,0.2,1,17.6,17.3,21,8,131.2,110.1
Tobias Harris,Det,Yes,F,32.6,59,32,17.6,9.2,131,0.878,443,0.54,219,0.338,0.529,0.566,13.8,5.9,2.3,0.9,0.8,1.1,19.7,16.1,22,7.2,115.4,110.3
Klay Thompson,Dal,Yes,G,35.1,54,27.2,21.5,10.2,50,0.88,228,0.443,416,0.401,0.546,0.561,13.8,3.5,2,0.8,0.5,1.4,17.3,15.8,19.3,6.7,108.8,114.8
D'Angelo Russell,Bro,Yes,G,29,18,24.1,27.3,16,62,0.887,90,0.467,115,0.313,0.468,0.532,13.7,2.7,5.7,1.2,0.8,2.2,16.4,19.4,22.1,9.9,110.7,110.2
Jarrett Allen,Cle,Yes,C,26.9,61,28.5,15.6,13.1,197,0.746,476,0.716,3,0,0.712,0.733,13.6,10.3,2,0.9,0.9,1.2,23.9,15.6,25.9,9.2,143,105.7
Dillon Brooks,Hou,Yes,G,29.1,58,32.1,17.3,7.9,99,0.818,325,0.437,358,0.388,0.513,0.538,13.5,3.9,1.6,0.8,0.2,1,17.4,15.1,19,5.5,114,105.1
